,Braak
hsa-miR-451a,0.24215973170329042
hsa-miR-1843,-0.24063417120747166
hsa-miR-365a-3p,-0.2392816471227384
hsa-miR-365b-3p,-0.2392134083467591
hsa-miR-99b-3p,-0.2377212959062061
hsa-miR-106b-5p,0.23618391761774474
hsa-miR-766-3p,-0.2359434445822086
hsa-miR-143-3p,0.235619006357731
hsa-miR-301a-3p,0.2355769997861352
hsa-miR-671-3p,-0.23431361479921958
hsa-miR-148a-3p,0.23357979721035693
hsa-miR-138-2-3p,0.2306925664141642
hsa-miR-18a-3p,-0.2291266584663176
hsa-miR-490-3p,-0.22902434927012855
hsa-miR-5683,0.22837259050317865
hsa-miR-873-3p,-0.22763650026009175
hsa-miR-30b-5p,0.22603905059720486
hsa-miR-378a-5p,-0.22495176851004992
hsa-miR-151a-5p,0.22481636701591956
hsa-miR-203a-3p,0.22276153965683515
hsa-miR-1185-1-3p,-0.22075243008085346
hsa-miR-10a-5p,0.22035770359465126
hsa-miR-144-3p,0.2202967113143793
hsa-miR-656-3p,0.219718920179859
hsa-miR-125b-5p,-0.2192098256313855
hsa-miR-500a-5p,-0.2180142589337389
hsa-miR-17-5p,0.21718455361592962
hsa-miR-100-5p,0.2147588316174066
hsa-miR-873-5p,0.21416203199930556
hsa-miR-92a-3p,-0.21363461079240512
hsa-miR-548k,0.21322569080720416
hsa-miR-130a-3p,0.21309037265457487
hsa-miR-27a-3p,0.2122184022467804
hsa-miR-378c,-0.21119165292958225
hsa-miR-548au-5p,0.21110270531477607
hsa-miR-539-5p,0.20907922860839553
hsa-miR-1260b,-0.20677981908403248
hsa-miR-652-3p,-0.20540904923243947
hsa-miR-136-3p,0.20441478132527152
hsa-let-7b-5p,-0.2031353235033386
hsa-miR-181b-5p,0.20253542824526466
hsa-miR-127-5p,-0.20246463273080825
hsa-miR-103a-3p,-0.20126205842758413
hsa-miR-1277-3p,0.20085124276931018
hsa-miR-219a-5p,0.20074225647008453
hsa-miR-656-5p,-0.1998890013399649
hsa-miR-107,-0.19832546736193427
hsa-miR-618,-0.1949928261675951
hsa-miR-22-5p,-0.19331178216411268
hsa-miR-548p,-0.1929962791215192
hsa-miR-181a-2-3p,0.19183982048705492
