,NodesPerBlock,Config,Selection Method,NodeCount,EdgeCount,Accuracy,Precision,Recall,F1Score
20,5.0,Config(wb),Random,16.0,24.0,0.7666666666666667,0.9428571428571428,0.6523809523809524,0.7294017094017093
21,5.0,Config(wb),Random,16.0,25.0,0.6166666666666667,0.7333333333333333,0.338095238095238,0.4422222222222222
22,5.0,Config(wb),Random,16.0,27.0,0.6666666666666666,0.6695238095238095,0.6333333333333333,0.6261904761904762
23,5.0,Config(wb),Random,16.0,23.0,0.65,0.6980952380952381,0.5476190476190476,0.5668831168831169
24,5.0,Config(wb),Random,16.0,33.0,0.55,0.4071428571428571,0.419047619047619,0.3579797979797979
25,5.0,Config(wb),Random,16.0,27.0,0.8,0.86,0.6428571428571428,0.72
26,5.0,Config(wb),Random,16.0,29.0,0.7500000000000001,0.6860750360750361,0.8142857142857143,0.7209383753501399
27,5.0,Config(wb),Random,16.0,26.0,0.8166666666666667,0.8666666666666666,0.7571428571428571,0.7856410256410256
28,5.0,Config(wb),Random,16.0,19.0,0.6666666666666667,0.7833333333333333,0.4238095238095238,0.5345454545454544
29,5.0,Config(wb),Random,16.0,25.0,0.6666666666666667,0.6914285714285715,0.5380952380952381,0.5745054945054945
30,5.0,Config(wb),Random,16.0,20.0,0.7833333333333333,0.8066666666666666,0.7,0.7101604278074867
31,5.0,Config(wb),Random,16.0,22.0,0.6833333333333333,0.6966666666666667,0.6714285714285715,0.6471062271062271
32,5.0,Config(wb),Random,16.0,19.0,0.8666666666666666,0.8428571428571429,0.7857142857142858,0.8073260073260073
33,5.0,Config(wb),Random,16.0,20.0,0.7666666666666667,0.7011904761904761,0.880952380952381,0.7561904761904762
34,5.0,Config(wb),Random,16.0,20.0,0.7333333333333333,0.8214285714285715,0.7380952380952381,0.6987012987012987
35,5.0,Config(wb),Random,16.0,27.0,0.7666666666666667,0.7614285714285713,0.7285714285714285,0.7046153846153846
36,5.0,Config(wb),Random,16.0,18.0,0.7,0.735,0.6714285714285714,0.6654545454545454
